instance_name;pricing_method;disabled_redundant_cut;disabled_cut_position;pricing_time;total_instance_time;qt_piece_types;qt_cmvars_pre_pricing;qt_plates_pre_pricing;qt_cmvars_pre_purge;qt_plates_pre_purge;qt_cmvars_pos_purge;qt_plates_pos_purge;finished;datafile
../instances/STS4s;none;false;false;NaN;2.242674687;20;332980;7224;332980;7224;332980;7224;true;./experiments_outputs/2020-05-29T21:37:37/jl_ZhcfC4
../instances/STS4;none;true;true;NaN;2.171841299;20;352570;7224;352570;7224;352570;7224;true;./experiments_outputs/2020-05-29T21:37:37/jl_aCUU6c
../instances/gcut9;furini;false;false;13.707210722000001;15.9179744;10;310704;36152;143419;36152;11485;2991;true;./experiments_outputs/2020-05-30T23:26:05/jl_aEhIaM
../instances/Hchl9;none;false;true;NaN;0.7289383;35;129518;3666;129518;3666;129518;3666;true;./experiments_outputs/2020-05-29T21:37:37/jl_aGnrhA
../instances/Hchl4s;none;true;true;NaN;3.347512669;10;525892;9670;525892;9670;525892;9670;true;./experiments_outputs/2020-05-29T21:37:37/jl_aM57mR
../instances/gcut11;none;true;false;NaN;201.696187982;30;22279538;400070;22279538;400070;22279538;400070;true;./experiments_outputs/2020-05-29T21:37:37/jl_aQn6ZR
../instances/gcut10;none;true;false;NaN;0.128412393;20;21168;2537;21168;2537;21168;2537;true;./experiments_outputs/2020-05-29T21:37:37/jl_avweeP
../instances/okp5;none;false;true;NaN;2.358624803;29;368496;9506;368496;9506;368496;9506;true;./experiments_outputs/2020-05-29T21:37:37/jl_bJ4bi7
../instances/gcut11;none;true;true;NaN;300.926646491;30;32997932;400070;32997932;400070;32997932;400070;true;./experiments_outputs/2020-05-29T21:37:37/jl_bKwBM8
../instances/gcut4;none;true;true;NaN;16.872306719;50;2963171;35176;2963171;35176;2963171;35176;true;./experiments_outputs/2020-05-29T21:37:37/jl_bLrQGn
../instances/3;none;true;false;NaN;0.158436287;20;33331;1860;33331;1860;33331;1860;true;./experiments_outputs/2020-05-29T21:37:37/jl_bNvZ0M
../instances/gcut9;none;true;false;NaN;2.30491393;10;317141;36152;317141;36152;317141;36152;true;./experiments_outputs/2020-05-29T21:37:37/jl_bT1MfN
../instances/3s;none;true;false;NaN;0.164015937;20;33331;1860;33331;1860;33331;1860;true;./experiments_outputs/2020-05-29T21:37:37/jl_brKG3d
../instances/A1;none;false;false;NaN;0.188990048;20;38730;2040;38730;2040;38730;2040;true;./experiments_outputs/2020-05-29T21:37:37/jl_bsSksY
../instances/Hchl7s;none;false;false;NaN;39.343716235;40;5348838;46491;5348838;46491;5348838;46491;true;./experiments_outputs/2020-05-29T21:37:37/jl_c6ZaRa
../instances/A5;none;false;false;NaN;3.206557524;20;469398;10402;469398;10402;469398;10402;true;./experiments_outputs/2020-05-29T21:37:37/jl_cGFMcP
../instances/CW2;none;false;false;NaN;4.736694051;35;697017;14664;697017;14664;697017;14664;true;./experiments_outputs/2020-05-29T21:37:37/jl_cQIZx4
../instances/Hchl3s;none;true;true;NaN;3.263795299;10;526393;9670;526393;9670;526393;9670;true;./experiments_outputs/2020-05-29T21:37:37/jl_cWLUZc
../instances/STS4s;furini;false;false;95.03871686900001;97.093348273;20;332980;7224;15584;7224;1685;974;true;./experiments_outputs/2020-05-30T23:26:05/jl_cXsTbt
../instances/A2s;none;true;false;NaN;0.22761392;20;49755;2276;49755;2276;49755;2276;true;./experiments_outputs/2020-05-29T21:37:37/jl_cdBCR3
../instances/cgcut2;furini;false;false;4.453601127000001;4.679674812;10;48855;2017;5754;2017;264;149;true;./experiments_outputs/2020-05-30T23:26:05/jl_cjvyZX
../instances/cgcut1;none;true;false;NaN;0.008998045;7;742;140;742;140;742;140;true;./experiments_outputs/2020-05-29T21:37:37/jl_cnKSwv
../instances/CHL6;none;true;false;NaN;5.300271145;30;781121;13170;781121;13170;781121;13170;true;./experiments_outputs/2020-05-29T21:37:37/jl_cz1EOM
../instances/gcut6;none;false;true;NaN;9.737821343;20;1523968;74797;1523968;74797;1523968;74797;true;./experiments_outputs/2020-05-29T21:37:37/jl_d7X2ca
../instances/gcut11;none;false;true;NaN;250.752480674;30;28503072;400070;28503072;400070;28503072;400070;true;./experiments_outputs/2020-05-29T21:37:37/jl_dEsd3N
../instances/CHL2s;none;true;false;NaN;0.250973626;10;49247;2348;49247;2348;49247;2348;true;./experiments_outputs/2020-05-29T21:37:37/jl_dKEtyG
../instances/STS2s;none;true;true;NaN;0.594788205;30;118006;3383;118006;3383;118006;3383;true;./experiments_outputs/2020-05-29T21:37:37/jl_dj9DMx
../instances/gcut10;furini;false;false;2.052718321;2.21319788;20;19521;2537;11875;2537;8242;1722;true;./experiments_outputs/2020-05-30T23:26:05/jl_dk4FJw
../instances/CU1;none;false;false;NaN;1.836171079;25;261418;7700;261418;7700;261418;7700;true;./experiments_outputs/2020-05-29T21:37:37/jl_dyGN4k
../instances/CW1;none;true;false;NaN;2.192629998;25;353959;8407;353959;8407;353959;8407;true;./experiments_outputs/2020-05-29T21:37:37/jl_epJlrw
../instances/gcut3;furini;false;false;386.895399289;392.593034151;30;1107065;32681;157348;32681;14883;4221;true;./experiments_outputs/2020-05-30T23:26:05/jl_eq82DN
../instances/CHL6;none;false;false;NaN;5.067167215;30;776048;13170;776048;13170;776048;13170;true;./experiments_outputs/2020-05-29T21:37:37/jl_fInVYH
../instances/Hchl8s;none;true;true;NaN;0.096623801;10;13987;896;13987;896;13987;896;true;./experiments_outputs/2020-05-29T21:37:37/jl_fNPGix
../instances/gcut12;none;false;true;NaN;626.725201551;50;52573780;489428;52573780;489428;52573780;489428;true;./experiments_outputs/2020-05-29T21:37:37/jl_fNnfJz
../instances/CHL1s;furini;false;false;411.195668759;414.654362714;30;519161;10402;113977;10402;86064;7733;true;./experiments_outputs/2020-05-30T23:26:05/jl_fWnPyl
../instances/okp2;none;true;false;NaN;1.707404593;30;262106;9506;262106;9506;262106;9506;true;./experiments_outputs/2020-05-29T21:37:37/jl_fuNISx
../instances/okp2;none;false;true;NaN;1.852867246;30;289791;9506;289791;9506;289791;9506;true;./experiments_outputs/2020-05-29T21:37:37/jl_g2xF15
../instances/STS2;furini;false;false;19.763954495;20.351035641;30;105735;3383;24789;3383;17713;2572;true;./experiments_outputs/2020-05-30T23:26:05/jl_gv1Loq
../instances/CHL2;none;false;true;NaN;0.315666852;10;56303;2348;56303;2348;56303;2348;true;./experiments_outputs/2020-05-29T21:37:37/jl_h0M9Cn
../instances/wang20;none;false;false;NaN;0.25425193;20;32247;1860;32247;1860;32247;1860;true;./experiments_outputs/2020-05-29T21:37:37/jl_h54mRn
../instances/gcut1;none;true;true;NaN;0.248823626;10;39886;4429;39886;4429;39886;4429;true;./experiments_outputs/2020-05-29T21:37:37/jl_h6lMQ0
../instances/okp2;furini;false;false;NaN;NaN;-1;262102;9506;-1;-1;-1;-1;false;./experiments_outputs/2020-05-30T23:26:05/jl_hFHDf7
../instances/gcut2;none;false;false;NaN;3.915386752;20;630744;28793;630744;28793;630744;28793;true;./experiments_outputs/2020-05-29T21:37:37/jl_hUFRtB
../instances/STS4;none;false;false;NaN;2.144329044;20;332980;7224;332980;7224;332980;7224;true;./experiments_outputs/2020-05-29T21:37:37/jl_hV1Rkm
../instances/OF1;none;false;true;NaN;0.202928694;10;38158;2098;38158;2098;38158;2098;true;./experiments_outputs/2020-05-29T21:37:37/jl_hVIcWz
../instances/gcut4;none;false;false;NaN;12.406225022;50;2010322;35176;2010322;35176;2010322;35176;true;./experiments_outputs/2020-05-29T21:37:37/jl_hZVqwm
../instances/STS4;none;false;true;NaN;2.174500703;20;348367;7224;348367;7224;348367;7224;true;./experiments_outputs/2020-05-29T21:37:37/jl_hcWxRT
../instances/A5;none;true;false;NaN;2.841030582;20;472838;10402;472838;10402;472838;10402;true;./experiments_outputs/2020-05-29T21:37:37/jl_himDvI
../instances/gcut12;none;false;false;NaN;299.545866558;50;30392392;489428;30392392;489428;30392392;489428;true;./experiments_outputs/2020-05-29T21:37:37/jl_hpwzja
../instances/A3;none;false;true;NaN;0.722166184;20;129854;3752;129854;3752;129854;3752;true;./experiments_outputs/2020-05-29T21:37:37/jl_hvUJYj
